Date;Load
2017-04-04;6924336740
2017-04-05;6900435700
2017-04-06;6871176370
2017-04-07;6807693250
2017-04-08;6143626120
2017-04-09;5626008540
2017-04-10;6564161800
2017-04-11;6678009470
2017-04-12;6550606940
2017-04-13;5690976020
2017-04-14;5246550230
2017-04-15;5533195610
2017-04-16;5243650870
2017-04-17;5775886550
2017-04-18;6561640780
2017-04-19;6767712540
2017-04-20;6757754360
2017-04-21;6739912940
2017-04-22;6106468170
2017-04-23;5580504470
2017-04-24;6402238390
2017-04-25;6784521730
2017-04-26;6867515870
2017-04-27;6951444580
2017-04-28;6903173590
2017-04-29;6188725120
2017-04-30;5655535830
2017-05-01;5405314420
2017-05-02;6446327260
2017-05-03;6769100500
2017-05-04;6798715340
2017-05-05;6775775460
2017-05-06;6071560900
2017-05-07;5558454300
2017-05-08;6617306000
2017-05-09;6786252040
2017-05-10;6813865860
2017-05-11;6791312710
2017-05-12;6725677070
2017-05-13;6031756200
2017-05-14;5525988520
2017-05-15;6482877050
2017-05-16;6855832490
2017-05-17;6849108320
2017-05-18;6832331670
2017-05-19;6697227500
2017-05-20;6039122420
2017-05-21;5585470020
2017-05-22;6661944890
2017-05-23;6942764320
2017-05-24;7029586930
2017-05-25;7115258350
2017-05-26;7090343570
2017-05-27;6357138900
2017-05-28;5763557760
2017-05-29;6779968760
2017-05-30;6910551160
2017-05-31;6938606550
2017-06-01;7044550340
2017-06-02;7104061410
2017-06-03;6382788480
2017-06-04;5728126210
2017-06-05;6615468050
2017-06-06;6979122390
2017-06-07;7068469340
2017-06-08;7190858920
2017-06-09;7161924650
2017-06-10;6534361160
2017-06-11;6113044890
2017-06-12;7449366410
2017-06-13;7731889160
2017-06-14;7881962890
2017-06-15;7946211580
2017-06-16;7961515090
2017-06-17;7301531980
2017-06-18;6722409700
2017-06-19;7911365690
2017-06-20;8040459260
2017-06-21;8071921550
2017-06-22;8080921490
2017-06-23;7866341150
2017-06-24;7020016860
2017-06-25;6470000430
2017-06-26;7558015010
2017-06-27;7607986170
2017-06-28;7367754040
2017-06-29;7018349500
2017-06-30;6872221820
2017-07-01;6229579850
2017-07-02;5821231340
2017-07-03;7019380880
2017-07-04;7371960240
2017-07-05;7471914650
2017-07-06;7362240870
2017-07-07;7250435030
2017-07-08;6487565780
2017-07-09;6013556450
2017-07-10;7320439690
2017-07-11;7619387450
2017-07-12;7920429490
2017-07-13;8137546520
2017-07-14;8086065730
2017-07-15;7175090680
2017-07-16;6524302190
2017-07-17;7795128690
2017-07-18;8031455580
2017-07-19;7931941440
2017-07-20;7727714790
2017-07-21;7534521050
2017-07-22;6747291140
2017-07-23;6186136440
2017-07-24;7322507200
2017-07-25;7267221130
2017-07-26;7463124630
2017-07-27;7719037720
2017-07-28;7744694140
2017-07-29;7031166230
2017-07-30;6475731430
2017-07-31;7343149500
2017-08-01;7558811800
2017-08-02;7616464850
2017-08-03;7756240640
2017-08-04;7899382070
2017-08-05;7150131060
2017-08-06;6479117110
2017-08-07;7465626760
2017-08-08;7359223190
2017-08-09;7046711680
2017-08-10;6743245260
2017-08-11;6751591330
2017-08-12;6220502620
2017-08-13;5814238280
2017-08-14;6571884930
2017-08-15;6209750150
2017-08-16;6996787600
2017-08-17;7177141840
2017-08-18;7299925470
2017-08-19;6642354080
2017-08-20;6184336030
2017-08-21;7318602420
2017-08-22;7527257840
2017-08-23;7542761820
2017-08-24;7508289070
2017-08-25;7430690560
2017-08-26;6729892790
2017-08-27;6142769410
2017-08-28;7186532070
2017-08-29;7187318980
2017-08-30;7077708570
2017-08-31;7095554780
2017-09-01;6985274610
2017-09-02;6265239870
2017-09-03;5838241100
2017-09-04;7047210710
2017-09-05;7415493100
2017-09-06;7481340200
2017-09-07;7404965700
2017-09-08;7125149950
2017-09-09;6298867810
2017-09-10;5693065460
2017-09-11;6636883210
2017-09-12;7061873880
2017-09-13;7187299520
2017-09-14;7216491970
2017-09-15;6892315070
2017-09-16;6079582440
2017-09-17;5601688790
2017-09-18;6683103310
2017-09-19;6908488730
2017-09-20;6915260230
2017-09-21;6933543850
2017-09-22;6939590400
2017-09-23;6197141070
2017-09-24;5720526070
2017-09-25;6811154820
2017-09-26;6970928440
2017-09-27;6982518490
2017-09-28;6980638960
2017-09-29;6958456120
2017-09-30;6220600280
2017-10-01;5695873700
2017-10-02;6861664280
2017-10-03;6901058310
2017-10-04;7078166190
2017-10-05;7106320880
2017-10-06;7074095180
2017-10-07;6181365450
2017-10-08;5671272050
2017-10-09;6633180180
2017-10-10;6890547520
2017-10-11;6869789040
2017-10-12;5886286650
2017-10-13;6314613000
2017-10-14;6010936490
2017-10-15;5613821440
2017-10-16;6742879710
2017-10-17;6873369680
2017-10-18;6866185660
2017-10-19;6763800450
2017-10-20;6767111890
2017-10-21;6068702320
2017-10-22;5538133500
2017-10-23;6635979430
2017-10-24;6837458010
2017-10-25;6877765510
2017-10-26;6822843570
2017-10-27;6798808230
2017-10-28;6023208390
2017-10-29;5760073630
2017-10-30;6663718570
2017-10-31;6776684090
2017-11-01;5793880790
2017-11-02;6680574560
2017-11-03;6796505100
2017-11-04;6084025900
2017-11-05;5627557310
2017-11-06;6779194790
2017-11-07;7052476780
2017-11-08;7197148730
2017-11-09;7189066050
2017-11-10;7238171120
2017-11-11;6447096860
2017-11-12;5948597130
2017-11-13;7143090410
2017-11-14;7432524210
2017-11-15;7487489100
2017-11-16;7467200910
2017-11-17;7387290670
2017-11-18;6598373150
2017-11-19;6093833950
2017-11-20;7286069060
2017-11-21;7484621630
2017-11-22;7544752300
2017-11-23;7422691230
2017-11-24;7320620140
2017-11-25;6618721200
2017-11-26;6153245480
2017-11-27;7449313250
2017-11-28;7684567790
2017-11-29;7740361960
2017-11-30;7785931310
2017-12-01;7888036160
2017-12-02;7236655840
2017-12-03;6771729460
2017-12-04;7959101730
2017-12-05;8061936860
2017-12-06;7179285490
2017-12-07;7420458750
2017-12-08;6814806530
2017-12-09;6787537050
2017-12-10;6479560330
2017-12-11;7615155720
2017-12-12;7844247030
2017-12-13;7976170550
2017-12-14;7883111430
2017-12-15;7623411190
2017-12-16;6882704680
2017-12-17;6568257400
2017-12-18;7879336820
2017-12-19;7906553100
2017-12-20;7924251990
2017-12-21;7772068780
2017-12-22;7515576180
2017-12-23;6631226570
2017-12-24;6039371960
2017-12-25;5600515380
2017-12-26;6622822940
2017-12-27;7008274800
2017-12-28;6953856320
2017-12-29;6743374920
2017-12-30;6134569590
2017-12-31;5796932510
2018-01-01;5399258420
2018-01-02;6849619510
2018-01-03;7134223200
2018-01-04;7130272770
2018-01-05;6850845860
2018-01-06;6043793510
2018-01-07;6353866380
2018-01-08;7754665620
2018-01-09;8131321370
2018-01-10;7963722920
2018-01-11;7931966800
2018-01-12;7907192910
2018-01-13;7213701480
2018-01-14;6713948390
2018-01-15;7935560510
2018-01-16;7920761880
2018-01-17;7769908420
2018-01-18;7767086690
2018-01-19;7716896120
2018-01-20;6877303110
2018-01-21;6296422440
2018-01-22;7376013790
2018-01-23;7524982400
2018-01-24;7551178640
2018-01-25;7678231890
2018-01-26;7793527070
2018-01-27;6980149270
2018-01-28;6474263420
2018-01-29;7530618160
2018-01-30;7703956340
2018-01-31;7682003110
2018-02-01;7869668970
2018-02-02;7943467190
2018-02-03;7153215770
2018-02-04;6811327670
2018-02-05;8099178690
2018-02-06;8208313680
2018-02-07;8296389200
2018-02-08;8358935000
2018-02-09;8285237160
2018-02-10;7321338530
2018-02-11;6673500250
2018-02-12;7896118690
2018-02-13;8108942220
2018-02-14;8025401300
2018-02-15;7771936090
2018-02-16;7579738300
2018-02-17;6753431210
2018-02-18;6331132320
2018-02-19;7474612370
2018-02-20;7553749140
2018-02-21;7600526710
2018-02-22;7724620360
2018-02-23;7782684400
2018-02-24;6975103940
2018-02-25;6435475690
2018-02-26;7670748940
2018-02-27;8097771420
